Date,Time,Sea-Level Adjusted Pressure(mb),Sea-Level Adjusted Pressure(inHg),Absolute Pressure(mb),Absolute Pressure(inHg),Temperature(°C),Temperature(°F),Relative Humidity(%),DewPoint(°C),DewPoint(°F),Partial Pressure(atmospheres),Number Density(molecules/cm³),Mass Density(grams/cm³),Wind Speed(m/s),Wind Direction(° from true north)
08/01/2009,00:00,1023,30.21,852,25.16,22.4,72.2,32,5.1,41.2,0.0085743231137031,2.1294765350008E+17,7.0721567484076,0.314,115.9,||||,
08/01/2009,00:05,1023,30.21,852,25.16,22.6,72.7,32,5.3,41.5,0.0086647404030374,2.1500403818584E+17,7.1404508788838,0.17,49.89,||||,
08/01/2009,00:10,1023,30.21,852,25.16,22.7,72.9,32,5.2,41.4,0.0086114261091085,2.1361611116021E+17,7.0943567457986,0.285,118.6,||||,
08/01/2009,00:15,1023,30.21,852,25.16,22.4,72.4,35,6.5,43.7,0.009428002267463,2.3407791451573E+17,7.7739091067045,0.981,189,||||,
08/01/2009,00:20,1023,30.21,852,25.16,21.3,70.4,36,5.7,42.2,0.0089054483205584,2.2194493073192E+17,7.3709633041345,1.343,202.9,||||,
08/01/2009,00:25,1023,30.21,852,25.16,20.6,69.1,37,5.8,42.4,0.0089829837418904,2.2441839542046E+17,7.4531089850165,1.497,196.9,||||,
08/01/2009,00:30,1023,30.21,852,25.16,20.2,68.4,38,5.6,42,0.0088504779129655,2.2140953731305E+17,7.3531824734086,1.584,202.1,||||,
08/01/2009,00:35,1023,30.21,852,25.16,20.4,68.8,36,5.2,41.3,0.0086083949410564,2.1519937688344E+17,7.1469382285482,0.832,180.5,||||,
08/01/2009,00:40,1023,30.21,852,25.16,20.5,68.8,36,5,41,0.0085223206323702,2.1302585494956E+17,7.0747538792029,1.041,250.7,||||,
08/01/2009,00:45,1023,30.21,852,25.16,20.9,69.5,37,5.6,42.2,0.0089051041817237,2.2229115018665E+17,7.3824615207758,0.811,167.5,||||,
08/01/2009,00:50,1023,30.21,852,25.16,20.7,69.3,35,4.9,40.8,0.0084312946787228,2.105569175722E+17,6.9927585538366,0.668,158.7,||||,
08/01/2009,00:55,1023,30.21,852,25.16,20.8,69.4,36,5.4,41.8,0.0087807888499886,2.1922524700429E+17,7.280640497981,1.014,202.5,||||,
08/01/2009,01:00,1023,30.21,852,25.16,20.6,69.1,38,5.9,42.6,0.0090644511858019,2.2645366494415E+17,7.5207018645819,1.576,217.9,||||,
08/01/2009,01:05,1023,30.21,852,25.16,20.2,68.4,38,5.6,42.1,0.0088793402686065,2.2212400578824E+17,7.3769105256567,1.416,198.7,||||,
08/01/2009,01:10,1023,30.21,852,25.16,20.2,68.3,38,5.4,41.7,0.0087408555959989,2.1871188379561E+17,7.2635913076238,1.028,209.6,||||,
08/01/2009,01:15,1023,30.21,852,25.16,19.8,67.7,37,4.9,40.8,0.0084568442703616,2.1184376236997E+17,7.0354956677289,1.292,184.3,||||,
08/01/2009,01:20,1023,30.21,852,25.16,19.7,67.4,38,5.1,41.1,0.0085631218713034,2.1462322632642E+17,7.1278038216506,0.977,190.3,||||,
08/01/2009,01:25,1023,30.21,852,25.16,19.7,67.5,40,5.9,42.6,0.0090508949215874,2.2680213287301E+17,7.5322747547931,1.248,175.1,||||,
08/01/2009,01:30,1023,30.21,852,25.16,19.7,67.4,39,5.3,41.6,0.008731674419473,2.188552454029E+17,7.2683524578023,1.823,210,||||,
08/01/2009,01:35,1023,30.21,852,25.16,19.7,67.4,40,5.9,42.6,0.0090556708338216,2.2696830900166E+17,7.5377935929223,1.029,200.8,||||,
08/01/2009,01:40,1023,30.21,852,25.16,19.8,67.6,39,5.6,42.1,0.0088928050844152,2.2281780951722E+17,7.3999522856543,1.239,199.2,||||,
08/01/2009,01:45,1023,30.21,852,25.16,19.8,67.6,39,5.6,42.1,0.0088761699121271,2.2237063109913E+17,7.3851011435296,1.079,208.9,||||,
08/01/2009,01:50,1023,30.21,852,25.16,19.7,67.5,42,6.5,43.7,0.0094454967046885,2.3669027397045E+17,7.8606675905069,1.177,200.5,||||,
08/01/2009,01:55,1023,30.21,852,25.16,19.8,67.6,40,6,42.8,0.0091404283998822,2.2900661335958E+17,7.6054872616867,1.254,200.2,||||,
08/01/2009,02:00,1023,30.21,852,25.16,19.8,67.6,42,6.6,43.9,0.0095462580637683,2.3918253823143E+17,7.9434376197717,0.517,184.5,||||,
08/01/2009,02:05,1023,30.21,852,25.16,19.7,67.4,42,6.6,43.8,0.0095116858379026,2.3837329408657E+17,7.91656199402,1.091,230.8,||||,
08/01/2009,02:10,1023,30.21,852,25.16,19.6,67.3,41,6.2,43.2,0.0092686136086091,2.3234511064588E+17,7.7163613461144,0.315,201.2,||||,
08/01/2009,02:15,1023,30.21,852,25.16,19.6,67.3,40,5.8,42.5,0.0090320578843871,2.2639967782033E+17,7.5189089103239,0.287,196.1,||||,
